"Ministries/Departments","Head of Expenditure","Detailed Head of Expenditure","Actual 2018-2019 Total","Budget 2019-2020 Total","Revised 2019-2020 Total","Budget 2020-2021 Total"
"Department of Water Resources, River Development and Ganga Rejuvenation","National River Conservation Directorate","Total National River Conservation Directorate","...","8","8","6"
"Department of Water Resources, River Development and Ganga Rejuvenation","National River Conservation Plan","EAP Component","1600","1200","1200","840"
"Department of Water Resources, River Development and Ganga Rejuvenation","National River Conservation Plan","Programme Component","20","20","0.02","0.01"
"Department of Water Resources, River Development and Ganga Rejuvenation","Farakka Barrage Project","Farakka Barrage Project","114.26","134.25","116.4","120"
"Department of Water Resources, River Development and Ganga Rejuvenation","Farakka Barrage Project","Recoveries","-11.47","-14.25","-45.4","-44"
"Department of Water Resources, River Development and Ganga Rejuvenation","Emergent Flood Protection Works in Eastern and Western Sectors","Total Emergent Flood Protection Works in Eastern and Western Sectors","...","0.01","0.01","0.01"
"Department of Water Resources, River Development and Ganga Rejuvenation","Dam Rehabilitation and Improvement Programme","EAP Component","42.61","60.19","36.49","37.87"
"Department of Water Resources, River Development and Ganga Rejuvenation","Dam Rehabilitation and Improvement Programme","Programme Component","6.71","29.18","15.51","17.13"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Ganga Plan and Ghat Works","National Ganga Plan","637.5","700","353.4","800"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Ganga Plan and Ghat Works","Ghat Works for Beautification of River Front","50","50","0.02","0.01"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Ganga Plan and Ghat Works","Transfer to National Clean Energy Fund (NCEF)","...","...","...","..."
"Department of Water Resources, River Development and Ganga Rejuvenation","National Ganga Plan and Ghat Works","Less-Amount met from National Clean Energy Fund (NCEF)","...","...","...","..."
"Department of Water Resources, River Development and Ganga Rejuvenation","River Basin Management","Total River Basin Management","176.33","200","161.54","200"
"Department of Water Resources, River Development and Ganga Rejuvenation","Interlinking of Rivers","Total Interlinking of Rivers","...","0.01","0.01","..."
"Department of Water Resources, River Development and Ganga Rejuvenation","Development of Water Resources Information System","Total Development of Water Resources Information System","74.07","100","120","140"
"Department of Water Resources, River Development and Ganga Rejuvenation","Ground Water Management and Regulation","Ground Water Management and Regulation","270.17","275","258.18","290"
"Department of Water Resources, River Development and Ganga Rejuvenation","Ground Water Management and Regulation","Recoveries","-9.97","-15","-15","-15"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Hydrology Project","EAP Component","40.69","75","82.18","99.99"
"Department of Water Resources, River Development and Ganga Rejuvenation","National Hydrology Project","Programme Component","38.53","75","67.82","100.01"
"Department of Water Resources, River Development and Ganga Rejuvenation","Research and Development and Implementation of National Water Mission","Total Research and Development and Implementation of National Water Mission","59.26","50","50","60"
"Department of Water Resources, River Development and Ganga Rejuvenation","HRD/Capacity Building Programme","Total HRD/Capacity Building Programme","47.72","60","33.01","50"
"Department of Water Resources, River Development and Ganga Rejuvenation","Infrastructure Development","Total Infrastructure Development","48.13","50","40","50"
"Department of Water Resources, River Development and Ganga Rejuvenation","Har Khet Ko Pani","Total Har Khet Ko Pani","2180.19","1069.55","1021.04","1050.5"
"Department of Water Resources, River Development and Ganga Rejuvenation","Impact Assessment Studies","Total Impact Assessment Studies","0.28","1","0.6","1"
"Department of Water Resources, River Development and Ganga Rejuvenation","Assistance for Sutlej Yamuna Link Canal Project","Total Assistance for Sutlej Yamuna Link Canal Project","...","0.01","0.01","0.01"
"Department of Water Resources, River Development and Ganga Rejuvenation","Flood Management and Border Areas Programme(FMBAP)","Total Flood Management and Border Areas Programme(FMBAP)","706.11","700","655.78","750"
"Department of Water Resources, River Development and Ganga Rejuvenation","Irrigation Census","Total Irrigation Census","52.38","50","46","50"
"Department of Water Resources, River Development and Ganga Rejuvenation","Atal Bhujal Yojna","EAP Component","...","0.5","0.5","50"
"Department of Water Resources, River Development and Ganga Rejuvenation","Atal Bhujal Yojna","Programme Component","...","0.5","0.5","150"
"Department of Water Resources, River Development and Ganga Rejuvenation","Servicing of loans from NABARD under PMKSY","Payment of interest for NABARD loan to NWDA under PMKSY","...","1602","1728.61","1900"
"Department of Water Resources, River Development and Ganga Rejuvenation","Servicing of loans from NABARD under PMKSY","Repayment of principal for NABARD loan to NWDA under PMKSY","...","32","31.25","475"
"Department of Water Resources, River Development and Ganga Rejuvenation","Servicing of loans from NABARD under PMKSY","Interest subvention for NABARD to States under PMKSY","...","360","241.26","300"
"Department of Water Resources, River Development and Ganga Rejuvenation","Special Package for Irrigation Projects to address agrarian distress in districts of Vidarbha and Marathawada and other chronically drought prone areas of rest of Maharashtra","Total Special Package for Irrigation Projects to address agrarian distress in districts of Vidarbha and Marathawada and other chronically drought prone areas of rest of Maharashtra","500","300","300","400"
"Department of Water Resources, River Development and Ganga Rejuvenation","National River Conservation Plan -Other Basins","EAP Component","...","50","7.01","57"
"Department of Water Resources, River Development and Ganga Rejuvenation","National River Conservation Plan -Other Basins","Programme Component","...","146","146","163"
"Department of Water Resources, River Development and Ganga Rejuvenation","Major and Medium Irrigation","Total Major and Medium Irrigation","2165.49","2852.15","2821.82","3873.06"
"Department of Water Resources, River Development and Ganga Rejuvenation","Minor Irrigation","Total Minor Irrigation","304.3","314.81","325.58","335.37"
"Department of Water Resources, River Development and Ganga Rejuvenation","Flood Control and Drainage","Total Flood Control and Drainage","208.75","156.19","134.13","39.78"
"Department of Water Resources, River Development and Ganga Rejuvenation","New and Renewable Energy","Total New and Renewable Energy","...","...","...","..."
"Department of Water Resources, River Development and Ganga Rejuvenation","Other Transport Services","Total Other Transport Services","52.79","45","20.9","23.55"
"Department of Water Resources, River Development and Ganga Rejuvenation","Ecology and Environment","Total Ecology and Environment","2307.5","1985.6","1569.04","1653.63"
"Department of Water Resources, River Development and Ganga Rejuvenation","Secretariat-Economic Services","Total Secretariat-Economic Services","79.82","98.83","91.78","95"
"Department of Water Resources, River Development and Ganga Rejuvenation","Capital Outlay on Major and Medium Irrigation","Total Capital Outlay on Major and Medium Irrigation","35.28","85.72","65.72","92.67"
"Department of Water Resources, River Development and Ganga Rejuvenation","Capital Outlay on Minor Irrigation","Total Capital Outlay on Minor Irrigation","214.42","200.15","181.66","212.78"
"Department of Water Resources, River Development and Ganga Rejuvenation","Capital Outlay on Flood Control Projects","Total Capital Outlay on Flood Control Projects","17.53","28.4","19.8","25.82"
"Department of Water Resources, River Development and Ganga Rejuvenation","Capital Outlay on Other Transport Services","Total Capital Outlay on Other Transport Services","50","75","50.1","52.45"
"Department of Water Resources, River Development and Ganga Rejuvenation","North Eastern Areas","Total North Eastern Areas","...","438.46","368.37","437.51"
"Department of Water Resources, River Development and Ganga Rejuvenation","Grants-in-aid to State Governments","Total Grants-in-aid to State Governments","1986.2","1942.54","1846.91","2095.27"
"Department of Water Resources, River Development and Ganga Rejuvenation","Grants-in-aid to Union Territory Governments","Total Grants-in-aid to Union Territory Governments","...","20.2","20.2","21.2"
"Department of Water Resources, River Development and Ganga Rejuvenation","Capital Outlay on North Eastern Areas","Total Capital Outlay on North Eastern Areas","...","2.19","2.19","2.29"
"Department of Water Resources, River Development and Ganga Rejuvenation","Loans and Advances to State Governments","Total Loans and Advances to State Governments","...","0.01","0.01","0.01"
